"unique_id","TEHC_ST"
"29213606867118 102",4
"29213606875118 101",4
"29213606875118 102",4
"29213613866818 101",4
"29213613866818 102",4
"29213620436618 101",4
"29213620436618 102",4
"29213620436618 103",4
"29213620489918 101",4
"29213620489918 102",4
"29213620496018 101",4
"29213627601818 101",4
"29213627606118 101",4
"29213627606118 102",4
"29213627606118 103",4
"29213627606118 104",4
"29213627606118 105",4
"29213627606118 106",4
"29213627606118 107",4
"29213627606118 108",4
"29213627616018 101",4
"29213627616018 102",4
"29213627616018 103",4
"29213627616018 104",4
"29213627616018 105",4
"29213627631818 101",4
"29213627667118 101",4
"29213633406118 101",4
"29213633406118 102",4
"29213633418918 101",4
"29213633418918 102",4
"29213633418918 103",4
"29213633418918 104",4
"29213633418918 105",4
"29213633431818 101",4
"29213633431818 102",4
"29213633431818 103",4
"29213633455218 101",4
"29213633455218 102",4
"29213633455218 103",4
"29213633455218 104",4
"29213633455218 105",4
"29213633455218 106",4
"29213633455218 107",4
"29213633467118 101",4
"29213633467118 102",4
"29213634401818 101",4
"29213634431818 101",4
"29213640616018 101",4
"29213640616018 102",4
"29213640655218 101",4
"29213640667118 101",4
"29213640667118 102",4
"29213640667118 103",4
"29213640667118 104",4
"29213640806118 101",4
"29213640806118 102",4
"29213640831818 101",4
"29213640831818 102",4
"29213640831818 103",4
"29213640867118 101",4
"29213640867118 102",4
"29213640867118 103",4
"29213640867118 104",4
"29213640867118 105",4
"29213640867118 106",4
"29213640878418 101",41
"29213640878418 102",41
"29213641801818 101",4
"29213641816018 101",4
"29213641816018 102",4
"29213641816018 103",4
"29213641816018 104",4
"29213641816018 105",4
"29213641816018 106",4
"29213641818918 101",4
"29213641818918 102",4
"29213641831818 101",4
"29213641831818 102",4
"29213641831818 103",4
"29213641831818 104",4
"29213641845118 101",4
"29213641845118 102",4
"29213641845118 103",4
"29213641845118 104",4
"29213641855218 101",4
"29213641875118 101",4
"29213641875118 102",4
"29213641875118 103",4
"29213641875118 104",4
"29213641875118 105",4
"29213641878418 101",4
"29213641878418 102",4
"29213668401818 101",4
"29213668401818 102",4
"29213668419818 101",4
"29213668431818 101",4
"29213668431818 102",4
"29213668467118 101",4
"29213668467118 102",4
"29213668475118 101",4
"29213668475118 102",4
"29213668478418 101",4
"29213668478418 102",4
"29213696724618 101",4
"29213696724618 102",4
"29213696724618 103",4
"29213696724618 104",4
"29213696750518 101",4
"29213696750518 102",4
"29213696768818 101",4
"29213699506118 101",4
"29213699506118 102",4
"29213699506118 103",4
"29213699506118 104",4
"29213699506118 105",4
"29213699516018 101",4
"29213699516018 102",4
"29213699518918 101",4
"29213699518918 102",4
"29213699531818 101",4
"29213699555218 101",4
"29213699555218 102",4
"29213699555218 103",4
"29213699567118 101",4
"29213699567118 102",4
"29213699567118 103",4
"29213699567118 104",4
"29213699578418 101",4
"29213699578418 102",4
"29228503408118 101",34
"29228503408718 101",54
"29228503408718 102",54
"29228503422918 101",34
"29228503422918 102",34
"29228503422918 103",34
"29228503422918 104",34
"29228503422918 105",34
"29228503446618 101",34
"29228503450118 101",34
"29228503450118 102",34
"29228503465018 101",54
"29228503465018 102",54
"29228503465018 103",54
"29228503472918 101",54
"29228503495718 101",54
"29228503495718 102",54
"29228503495718 103",54
"29228503495718 104",54
"29228504608518 101",4
"29228504612718 101",4
"29228504619518 101",50
"29228504619518 102",50
"29228504619518 103",50
"29228504619518 104",50
"29228504619518 105",50
"29228504623218 101",4
"29228504623218 102",4
"29228504623218 103",4
"29228504623218 104",4
"29228504653418 101",4
"29228504653418 102",4
"29228504653418 103",4
"29228504653418 104",4
"29228504653418 105",4
"29228504653418 106",4
"29228504667118 101",4
"29228504667118 102",4
"29228504667118 103",4
"29228504667118 104",4
"29228504682918 101",4
"29228504682918 102",4
"29228504692518 101",4
"29228504692518 102",4
"29228504693518 101",4
"29228504693518 102",4
"29228504693518 103",4
"29228505719418 101",24
"29228505719418 102",24
"29228505719418 103",24
"29228505726718 101",24
"29228505726718 102",24
"29228505756818 101",24
"29228505756818 102",24
"29228505760218 101",24
"29228505760218 102",24
"29228505760218 103",24
"29228505760218 104",24
"29228505760218 105",24
"29228505769218 101",24
"29228505773018 101",24
"29228505773018 102",24
"29228505773018 103",24
"29228505773018 104",24
"29228505791918 101",24
"29228505791918 102",24
"29228505791918 103",24
"29228505791918 104",24
"29228505797218 101",24
"29228505797218 102",24
"29228505797218 103",24
"29228505799418 101",61
"29228505799418 102",61
"29228505799418 103",61
"29228506806118 101",4
"29228506806118 102",4
"29228506806118 103",4
"29228506806118 104",4
"29228506808518 101",6
"29228506808518 102",6
"29228506812718 101",4
"29228506812718 102",4
"29228506818918 101",4
"29228506818918 102",4
"29228506819818 101",4
"29228506819818 102",4
"29228506823218 101",4
"29228506838818 101",4
"29228506845118 101",4
"29228506875118 101",4
"29228506875118 102",4
"29228506875118 103",4
"29228506892518 101",4
"29228506892518 102",4
"29228509817218 101",34
"29228509817218 102",34
"29228509817218 103",34
"29228509817218 104",34
"29228509817218 105",34
"29228509834818 101",34
"29228509834818 102",61
"29228509844418 101",54
"29228509856618 101",34
"29228509879718 101",34
"29228510107118 101",51
"29228510107118 102",51
"29228510125818 101",54
"29228510165118 101",34
"29228510178118 101",51
"29228510178118 102",51
"29228510178118 103",51
"29228510182018 101",54
"29228511409718 101",34
"29228511409718 102",34
"29228511409718 103",34
"29228511409718 104",34
"29228511409718 105",34
"29228511463818 101",34
"29228511477818 101",34
"29228511477818 102",34
"29228511477818 103",34
"29228511477818 104",34
"29228511477818 105",34
"29228513617218 101",34
"29228513617218 102",34
"29228513617218 103",34
"29228513617218 104",34
"29228513656618 101",34
"29228513656618 102",34
"29228513806918 101",34
"29228513809818 101",34
"29228513809818 102",34
"29228513853618 101",4
"29228513853618 102",4
"29228513853618 103",4
"29228513877918 101",34
"29228513877918 102",34
"29228513885118 101",4
"29228513885118 102",4
"29228513896618 101",4
"29228513896618 102",4
"29228513896618 103",4
"29228517219418 101",24
"29228517226718 101",24
"29228517243118 101",24
"29228517243118 102",24
"29228517245818 101",24
"29228517245818 102",24
"29228517245818 103",24
"29228517245818 104",24
"29228517245818 105",24
"29228517245818 106",24
"29228517254918 101",24
"29228517254918 102",24
"29228517254918 103",24
"29228517254918 104",24
"29228517254918 105",24
"29228517260218 101",24
"29228517284418 101",24
"29228517296718 101",24
"29228517297218 101",24
"29228520402018 101",34
"29228520402018 102",34
"29228520402018 103",34
"29228520421018 101",34
"29228520421018 102",34
"29228520438618 101",34
"29228520475918 101",34
"29228520925118 101",34
"29228520925118 102",34
"29228520931118 101",34
"29228520936518 101",34
"29228520936518 102",34
"29228521542018 101",24
"29228521542018 102",24
"29228521542018 103",24
"29228521542018 104",24
"29228521556618 101",34
"29228521556618 102",34
"29228521558418 101",24
"29228522817318 101",44
"29228522817318 102",44
"29228522875318 101",44
"29228522875318 102",44
"29228522875318 103",44
"29228527601818 101",4
"29228527601818 102",4
"29228527612718 101",4
"29228527612718 102",4
"29228527616018 101",4
"29228527616018 102",4
"29228527616018 103",4
